HOUSEHOLD_ID,HOUSEHOLD_CLAIMED_FAMILY_SIZE,HOUSEHOLD_REGISTRATION_DATE,HOUSEHOLD_REGISTRATION_USER_ID,HOUSEHOLD_REFUGEE_STATUS,HOUSEHOLD_VULNERABILITY_RATING,HOUSEHOLD_INACTIVE_REASON,HOUSEHOLD_FP_VALID,HOUSEHOLD_PARTNER_ID,COUNTRY_ID,WFP_OFFICE_ID,LOCATION_ID,LOCATION_TYPE_ID,LOCATION_TYPE_DESC,ADMIN_AREA_ID
585927,5,2015-11-16,890,RESIDENT,,DELETED,Value not defined,,19,241,100108,,,104693
549576,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549574,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549572,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549545,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549544,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549541,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549539,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549537,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549535,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
728705,1,2015-12-13,1502,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549531,1,2015-11-12,1950,RESIDENT,,DELETED,Value not defined,,19,241,102166,,,104691
549529,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549527,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549525,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549861,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549578,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549855,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549857,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
